Count,Title,Rating,Pros,Cons
11,"GitLab: The All-in-One Solution for Developers",5.0,"GitLab offers everything a developer needs to manage their projects. I find it easy to share code, review my recent changes, and it also helps me identify issues introduced by other developers.","As of now i dont find something that i don't like about gitlab."
12,"Excellent all-in-one solution for code hosting, CI/CD, and team collaboration",5.0,"I appreciate that GitLab provides an all-in-one solution for version control, continuous integration, and project management. The built-in CI/CD features are powerful and easy to set up, and I love being able to track issues, merge requests, and deployments without switching tools. The documentation and community support are also excellent.","GitLab is very powerful, but the learning curve can be steep, especially for teams that are new to DevOps tools. Some integrations or third-party apps don't always work as smoothly as expected, and occasionally there are minor bugs or delays when running pipelines."
13,"Simple, Scalable, Secure, and Seamless DevOps Platform.",5.0,"Scalability, Security, wonderful ui-ux. To me, it has been the best DevOps platform, easy to configure seamless CI/CD pipeline.","Large repositories are problematic, besides the initial setup seems complex, and the limited integration due to Kubernetes is a challenge."
14,"One of the best version control tool for free",5.0,"Gitlab is super easy to use, making it a great tool for handling code and collaboration with teammates. It's simple to set up, and if you ever need help, their customer support team is quick to assist. With its friendly interface and useful number of features, Gitlab makes managing and merging code a breeze for any project.","There is nothing to dislike, I phase one issue when I used it in mobile web. I got confused in user interface of mobile view to merge code request. On other hand everthing is good to go."
15,"All in one DevOps Platform with Powerful CI/CD",5.0,"i have been using GitLab for several months now and it is been a great experience overall. What I really appreciate is how everything from version control to CI/CD pipelines is integrated into a single platform. It simplifies the workflow and reduces the need to depend on multiple tools. The interface is clean and user-friendly, and managing repositories, merge requests, and issues is very straightforward. The built-in CI/CD is one of GitLab's strongest features — it's easy to configure and works reliably in most cases. That said, there are moments when pipeline performance slows down, especially under heavy load, but it's nothing deal-breaking. Also, for beginners, the platform might feel a bit overwhelming at first due to the wide range of features.","Fellowing points given below 1. It is difficult to learn for new users 2. Occasional performance slowdowns"
16,"Robust CI/CD Features, But Community Support Needs Improvement",5.0,"The platform offers a wide variety of features that support and advance our CI/CD practice.","The community and support leave something to be desired. There are problems that have been reported by numerous users over the years, yet they still have not been addressed."
17,"The GitLab Admin POV: One Tool to Rule Them All?",5.0,"From an admin eyes , GitLab offers a comprehensive and effective all-in-one DevSecOps platform that minimizes the need to manage multiple toolchains. The centralized user and group management, especially with SAML SSO and SCIM integration for enterprise tiers with almost all IDPs, significantly simplifies access control and identity lifecycle management for Gitlab.","Managing Gitlab runner infrastructure (especially for autoscaling or hybrid cloud environments) can be complex and will need close monitoring and resource Altering."
18,"Very Efficient and Structured Solution for the whole Workflow from Management to Deployment",4.0,"It started out with a very minimalistic approach, but over time, they have consistently enhanced their features and addressed bugs with better support for customer satisfaction. The platform is now easier to use and less complicated. It also integrates with all the popular mailing, communication, collaboration, and alerting applications. We use it for all our work tracking and releasing. Very easy to implement and build upon.","Still has less features compared to peers. But it has everything we really need."
19,"Feature-Rich Platform with a Slick UI",4.0,"It's an all-in-one solution for hosting both the sources and the resulting artifacts, good integration to other tools","I'm missing a way to orchestrate reviews/merges across multiple repos"
20,"All-in-One DevOps Platform That Simplifies CI/CD and Collaboration",4.5,"GitLab combines source code management, CI/CD pipelines, issue tracking, and DevOps automation into a single, unified platform. I love how seamless the Merge Request workflow is, and the pipeline configuration using .gitlab-ci.yml gives us full control. Its self-hosting option is a big plus for privacy-focused teams.","The UI can feel heavy at times, and pipeline debugging isn't always straightforward for beginners. Also, compared to GitHub, the community plugins and marketplace are more limited. Occasionally, documentation for advanced features could be more detailed."
21,"Best tool for Planning and tracking your development and Deployement",4.5,"Setting up our groups and Projects in best manner. Managing my backlogs and features. Managing story and its pipeline and tracking till deployment. Better tracking of Sprint and story movement from grooming to deployment. Tracking teams logs and hours burned via dashboards for better visibliity","Sometime commands fails and conflict resolution process is uneasy as TFS"
22,"Best tool to run production pipelines",5.0,"Its an best tool to run pipelines very easily and also take less time to execute the commands in it.","So far i dont see any drawback with gitlab in my project"
23,"very useful and easy to use ci/cd pipeline tool",5.0,"I like how easy it is to create pipelines with jobs and stages, use of variables and the concept of default runners and also ability to configure custom runners.","The configuration of default runners is unknown - unless we run a particular command like uname"
24,"Comprehensive DevOps Platform with Great CI/CD",4.5,"Its built-in CI/CD pipelines are powerful and easy to configure, enabling seamless automation from code to deployment.","The UI can feel cluttered at times, and some advanced features require a steep learning curve."
25,"Powerful but complex",3.5,"Rich feature set very powerful for managing code realse and issue management related to code release.","Complex significant effort to understand intermediat funtionality. Not always intuitive."
26,"As a DevOps Engineer for personal project gitlab is easy to use and has a smooth deployment process.",4.0,"Automate the CI/CD pipelines. All in one-platform","Limited features on free plan. UI is slow"
27,"Version management software for developers",5.0,"1. It is a very useful software for code management. 2. We can manage our code of project into gitlab. We can manage our code by creating branch like master, staging, develop, feature and etc. 3. It is a version control software. 4. It is a open source software and easy to implementation. It can be used for DevOps. 5. We can do any integration into gitlab like CI/CD. 6. Many companies are mostly used this software for managing their code and documents as well. 7. This platform is very secure for security and we can track our project.","1. Sometime we were facing problem like intergration error. 2. There are some command facing issue like merge conflict. 3. We need some public repository on gitlab but unfortunatly it is not present in gitlab."
28,"Comprehensive devops platform",5.0,"It is all in one devops platform for scm, cicd issue tracking, security scans and deployment","Learning for newbies, and pricing for premium"
29,"Gitlab is a best workspace.",5.0,"Gitlab makes works easier to handle . Gitlab is always up and running .","Features wise is great and in UI theres always room for improvement , thats what i see."
30,"excellent deployment tool but difficult to get started with",3.5,"edit a yaml file with a lot of options to configure deploys","When you begin with this tool there is too many pages and configurations"
31,"Gitlab a powerful toof for version management",4.5,"I like gitlab because it's easy to use. Beginers can use git got tortoise with gitlab which help them a lot to manage codes and their versions without knowing commands by simply git pull, git push or other activities. Cherry picking is also easy to manage in gitlab, which makes it powerful than other tools.biggest thing about gitlab is, it is completely free.","There is occasional crash in gitlab, some features are missing in gitlab than github, if they include those features, and occasional crashes fixes, it will be a best solution for version control, specially for non technical people, it will be on fire with git tortoise"
32,"Extremely pleasant experience for storing and building code.",4.5,"1. Seamlessly store code online with versioning, building code running various CI/CD pipelines. 2. Ease of access due to clean User interface. 3. Very secure as access it based on permission based model. There are various levels of access like member, owner etc. 4. One of the things that I loved was intergration with CI/CD pipelines. It saves additional effort from developers, runs pipelines such as tests and add validation conditons on those pipelines. 5. Always use this for my professional work","1. Gitlab free tier does not have that much of features which might dter new users."
33,"DevOps platform for teamwork; easy to configure and monitor.",5.0,"One of the things I like most about GitLab is the set of collaboration features it makes available to us, it has really facilitated teamwork, on top of that, it provides effective security measures. It provides us with role-based access control tools to manage user roles, excellent workflows, version control, continuous integration, and customizable issue dashboards that allow us to track issues while promoting efficient teamwork.","There is an issue with the interface that permits us to run jobs before their requirements are satisfied. This has to be fixed immediately."
34,"User-friendly version control system",5.0,"The convinience in accessing the required branches and ease of use for different version controlling makes it unique and special. Ease of navigation across repositories.","The documentation which was provided was not explained in detail and can be improved. The cost to upgrade to a paid plan is a bit on the higher side and of reduced it can be the most cost effective in tbe market too."
35,"Compliance using Gitlab, ensuring efficient deployment and compliance with industry standards.",4.0,"What I appreciate most about GitLab, especially in the context of complying with ISO 27001 standards, is its comprehensive security features and practices. GitLab's integrated approach to security, encompassing static and dynamic security testing, dependency scanning, and container scanning within its CI/CD pipelines, aligns perfectly with ISO 27001's requirements for information security management. This integration facilitates a proactive approach to identifying and mitigating security vulnerabilities early in the development process, ensuring the confidentiality, integrity, and availability of information, which are key principles of ISO 27001.","GitLab is feature-rich, which can be a double-edged sword. The breadth of its capabilities means it can be complex to navigate and optimize, especially for new users or smaller teams without dedicated DevOps resources."
36,"Both functionality and secure performance are included",4.5,"When it comes to code review, GitLab's adaptability is critical. It has certainly contributed greatly to promoting excellence in coding in accordance with the most sustainable design and development requirements in the market. Lately, my clients have been enthusiastic about GitLab, and the quality of work has increased as a result. I love the interface.","The support team needs to work on their response time if they want to be able to resolve any issues."
37,"GitLab Review",5.0,"GitLab is really having best UI and its easy to use. GitLab is used as a repository which helps organization to collaborate their data and code among teams or people. We can our code to GitLab repo and everyone from our team can make changes to it or they can use that code.","There is nothing much but the impletation is little bit complex and long. Sometimes the site goes down."
38,"Outstanding tool for version control",4.5,"GitLab provides xCI/CD)tools, which achieves the development, testing, and deployment processes without needing third-party integrations.","The varieties of features and integrated tools can be overheaded for new users. The learning curve can be steep, especially for those unfamiliar with DevOps practices."
39,"Easy to use, well structured product to manage your code",5.0,"Good interface, usefull management tools, flexible settings, a lot of integrations and amazing project and code managment.","Some part of UX. Sometimes it is very difficult to jumb between the right pages of projects and repositories."
40,"Love how easy it is to deploy now",5.0,"I love the ease of creating a pipeline and deploying through differen environments.","Would like to reuse the same pipeline to redeploy through all the environments."
41,"Great CI/CD platform",5.0,"Gitlab runners extenteds the standard git platform with a great platform for CI/CD implementations. It has easy to provision CI runners for you needs and the defenitions of pipelines and integrations are easy and very straight forward making it a must have platform. The built in repository is also great and easy to implement making it great for daily use and even scheduled tasks can be done in the CI.","The UI could be better it seems like it's constantly changing for the worse hopefully the better in the long time but it's not only on Gitlab it seems it's wider problem with others adapting the same layout which I find very confusing at this moment and harder to use."
42,"Amazing all in one DevSecOps platform",4.5,"GitLab offers a comprehensive suite of features that facilitate seamless collaboration between our teams and clients. Their dedicated specialists provide personal support, ensuring any issues are promptly resolved. We really love working with GitLab!","GitLab has a bunch of cool features in the pipeline, but sometimes it takes a bit too long for them to roll out."
43,"Gitlab for Sharing, Collaborating and Managing Projects",4.0,"GitLab UI is very easy to get started and very simple to use. It also allows importing projects from existing repositories such as GitHub, BitBucket, etc. which is very good. It also has issue tracking and milestones UI, which is simple, easy to track, and one of the best. We can also explore public projects very easily as well.","The pricing is quite high and it does not have any gist feature to share snippets of code. It also does not comes with student pricing, rather it provides a 30-day free ultimate plan which is nice but a student feature would be appreciated very much."
44,"Very helpful for code sharing with team",5.0,"Cherry pick feature for hotfix production release","Sometime stash changes overidrd or conflict"
45,"Gitlab- a web based project management repository",4.0,"It is very easy to configure and does not require any extra space on the computer. One just need to configure it and it is ready to use. Alongside, this is also a reliable way to process, maintain and manage the code with minimum extra effort. It's accuracy is another added advantage","It has its own limitations like very little or no customisation. . Also, though easy to configure but it can only be used for native application and it doesn't have compliance license"
46,"Better alternative for github",4.5,"I loved the user interface of Gitlab and the fact that is offers more features at very cheap rate. Gitlab provides their own runners therefore it is very convienent to use. Interface is very good and easy to understand comparitive to its counterpart jenkins. In gitlab pipeline runs automatically if we use a specific keyword but in jenkins we have to do so much configuration.","The amount of gitlab i have used i did not found any things to dislike it. It is really wonderful. Not so much data is available to integrate gitlab with other applications as it is very new to its counterpart. But it is improving constantly."
47,"Gitlab: best tool for team collaboration and project code storage",5.0,"I like the beginner friendly user interface of Gitlab most, specifically the code review section most when i review the code of my junior developers it helps me to write the comments, comparing the old and new changes and it even give some better insightful suggestions i love this part of gitlab its awesome apart from it i like the feature where it segregates the branches and merge them on approval rights which helps in having the codebase in right hands.anyone cannot push or approve the code without proper rights.","i am using it from last 2 years i didn't find anything wrong but sometimes user interface doesn't load properly it happens very rare but i faced this issue so i don't like it when it happens."
48,"the best version control system that i ever used",5.0,"gitlab features like branching and merging is a good one. it reduce the complexity of the program and can avoid the conficts between the developers. And we can build pipelines in git and automates. we can go the previous commits so any error occurs we can hava a backup so the code never be stole.","E GitLab's user interface has evolved over time, i still feel that some features of it are less user-friendly than those of rival version control systems."
49,"develop, secure, and operate automated scripts",5.0,"In every software industry ` uses git for code repository . GitLab is one of the best software which easy to use and deploy the scripting lang to the jenkins and other platform which is affilated to the git. it automate the program and groovy to automation tools . best software to define you scripting lang to the program. make a package and run as groovy of the program. it secure and reliable . run and store your groovy for automated tools like jenkins","There is nothing dislike about gitlab. in every software industry ` uses git for code repository ."
50,"GITLAB : A MUST HAVE TOOL FOR DEVELOPERS",5.0,"1-> i like the user interface of gitlab because its beginner friendly and easy to use. a whole team can manage a single or multiple projects and they can work on their own branches and the code can be pushed , reviewed and deployed. everything is at one place. 2-> the tracking of code changes is awesome you con switch between diff commits or versions of code. anyone can't push pull or deploy the changes only those who have correct rights will be able to use that functionality. 3-> its perfect for both large scale and small scale projects.complete developement life cycle is managed via gitlab in a very beautifull manner. 4-> from code pull to code push from code reviews to pushing code review changes from bug tracking to bug resolution everything works perfectly smooth. 5-> i love to use gitlab at workplace.its irreplaceable tool in terms of everything that you need for developement","1-> sometimes the code that you have pushed won't be visible to you for few minutes. it means code push does not work in real time. 2-> comparing multiple commmits is little bit complex. 3-> premium features are overpriced. 4-> little bit slow while loading when we press any button at UI."
